month,tweets,unique_terms,avg_syllables,median_syllables,avg_chars,acronym_share,ironic_share
2010-01,3031,143,1.860112174199934,2.0,6.026723853513692,0.06994391290003299,0.011877268228307489
2010-02,2506,142,1.7681564245810055,2.0,5.849561053471668,0.09736632083000799,0.005985634477254589
2010-03,2793,144,1.827783745076978,2.0,5.847117794486215,0.08736126029359112,0.004296455424274973
2010-04,2972,143,1.750336473755047,2.0,5.768506056527591,0.07267833109017496,0.0070659488559892325
2010-05,3113,142,1.7956954706071313,2.0,5.930292322518471,0.09669129457115323,0.006424670735624799
2010-06,2729,139,1.7790399413704654,2.0,5.962257237083181,0.06266031513374863,0.004763649688530597
2010-07,3081,142,1.8481012658227849,2.0,6.024667315806556,0.0694579681921454,0.007140538786108407
2010-08,3169,140,1.7958346481539917,2.0,5.898075102556011,0.062164720732092144,0.008204480908804039
2010-09,2939,142,1.838380401497108,2.0,5.964613814222525,0.08846546444368833,0.004423273222184417
2010-10,3186,146,1.896421845574388,2.0,6.083176396735719,0.06591337099811675,0.004080351537978657
2010-11,3057,143,1.730127576054956,2.0,5.79882237487733,0.07687275106313379,0.007523716061498201
2010-12,3343,140,1.8022734071193538,2.0,5.837870176488185,0.0843553694286569,0.004486987735566856
2011-01,86,17,2.0813953488372094,2.0,6.5813953488372094,0.0,0.0
