year,posts,unique_terms,avg_syllables,median_syllables,avg_chars,acronym_share,multiword_share,avg_sentiment_score,avg_days_since_emergence
2020,52592,12,2.038808183754183,2.0,7.748421813203529,0.0,0.5071113477334956,0.20721799893519927,355.0346630666261
2021,91597,22,2.4763147264648406,2.0,8.958219155649202,0.0,0.49230870006659605,0.19200824262803368,425.0043014509209
2022,101347,26,2.264783368032601,2.0,8.03961636752938,0.022990320384421836,0.33764196276160124,0.15643564190355905,504.64860331336894
2023,114006,31,2.0170692770555934,2.0,6.401978843218778,0.0593302106906654,0.21962001999894742,0.12080002806869813,493.55558479378277
2024,112845,32,2.0911515796003366,2.0,6.325729983605831,0.041756391510478975,0.20736408347733618,0.18734116708759802,459.0895919181178
2025,63009,21,2.1779587043120823,2.0,6.742211430113159,0.006157850465806472,0.1425669348823184,0.23101533114317002,591.0238537351806
